year,cat,gat,10 years MA CAT,10 years MA GAT
1997,27.8,9.2,27.652,9.087
1998,28.39,9.52,27.712,9.119
1999,27.45,9.29,27.705,9.156
2000,27.59,9.2,27.676,9.153
2001,27.83,9.41,27.688,9.176
2002,28.06,9.57,27.73,9.249
2003,27.83,9.53,27.763,9.315
2004,27.69,9.32,27.772,9.343
2005,27.88,9.7,27.795,9.378
2006,28.04,9.53,27.856,9.427
2007,27.87,9.73,27.863,9.48
2008,27.61,9.43,27.785,9.471
2009,27.85,9.51,27.825,9.493
2010,28.28,9.7,27.894,9.543
2011,27.68,9.52,27.879,9.554
2012,28.25,9.51,27.898,9.548
2013,28.46,9.61,27.961,9.556
